tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,name,retweet_count,text,tweet_created,user_timezone
5.70306E+17,neutral,1,,,cairdin,0,@TAA What @dhepburn said.,2/24/2015 11:35,Eastern Time (US & Canada)
5.70301E+17,positive,0.3486,,0,jnardino,0,@TAA plus you've added commercials to the experience... tacky.,2/24/2015 11:15,Pacific Time (US & Canada)
5.70301E+17,neutral,0.6837,,,yvonnalynn,0,@TAA I didn't today... Must mean I need to take another trip!,2/24/2015 11:15,Central Time (US & Canada)
5.70301E+17,negative,1,Bad Flight,0.7033,jnardino,0,"@TAA it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2/24/2015 11:15,Pacific Time (US & Canada)
5.70301E+17,negative,1,Can't Tell,1,jnardino,0,@TAA and it's a really big bad thing about it,2/24/2015 11:14,Pacific Time (US & Canada)
5.70301E+17,negative,1,Can't Tell,0.6842,jnardino,0,"@TAA seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2/24/2015 11:14,Pacific Time (US & Canada)
5.70301E+17,positive,0.6745,,0,cjmcginnis,0,"@TAA yes, nearly every time I fly VX this “ear worm” won’t go away :)",2/24/2015 11:13,Pacific Time (US & Canada)
5.703E+17,neutral,0.634,,,pilot,0,"@TAA Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2/24/2015 11:12,Pacific Time (US & Canada)
5.703E+17,positive,0.6559,,,dhepburn,0,"@TAA Well, I didn't…but NOW I DO! :-D",2/24/2015 11:11,Pacific Time (US & Canada)
5.70295E+17,positive,1,,,YupitsTate,0,"@TAA it was amazing, and arrived an hour early. You're too good to me.",2/24/2015 10:53,Eastern Time (US & Canada)
5.70294E+17,neutral,0.6769,,0,idk_but_youtube,0,@TAA did you know that suicide is the second leading cause of death among teens 10-24,2/24/2015 10:48,Eastern Time (US & Canada)
5.7029E+17,positive,1,,,HyperCamiLax,0,@TAA I &lt;3 pretty graphics. so much better than minimal iconography. :D,2/24/2015 10:30,America/New_York
5.7029E+17,positive,1,,,HyperCamiLax,0,@TAA This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,2/24/2015 10:30,America/New_York
5.70287E+17,positive,0.6451,,,mollanderson,0,@TAA @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,2/24/2015 10:21,Eastern Time (US & Canada)
5.70286E+17,positive,1,,,sjespers,0,@TAA Thanks!,2/24/2015 10:15,Pacific Time (US & Canada)
5.70282E+17,negative,0.6842,Late Flight,0.3684,smartwatermelon,0,@TAA SFO-PDX schedule is still MIA.,2/24/2015 10:01,Pacific Time (US & Canada)
5.70278E+17,positive,1,,,ItzBrianHunty,0,@TAA So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2/24/2015 9:42,Pacific Time (US & Canada)
